HARVEST BREAD,199,,bread
PASTA WHOLE WHEAT PENNE ORGANI,149,,penne
BANANAS,19,EA,bananas
MILK HALF GAL ALMOND UNSWEETEN,299,,almond milk
A-LEMON BAG,149,LB,lemons
ORGANIC LF VANILLA YOG-,329,OZ,yogurt
R-CARROTS CUT & PEELED ORGANIC,149,,carrots
R-STRAWBERRIES ORG,349,LB,strawberries
A-AVOCADOS HASS BAG,299,CT,avocados
UNSALTED BUTTER QUARTERS.,319,,butter
TJ'S STRING CHEESE,399,,string cheese
VEG BROCCOLI FLORETS ORGANIC,249,,brocolli
LENTILS RED SPLIT,169,,lentils
R-SALAD ORGANIC BABY SPINACH,199,,baby spinach
TJ'S HONEY NUT O'S CEREAL,249,,cereal
TJ'S BNLS SNLS CHICKEN BREASTS,422,,chicken breasts
A-APPLE BAG JAZZ,269,LB,apples
A-POTATO BAG SWEET,179,LB,chips
R-HERB CILANTRO BUNCH,99,,herbs
BEANS BLACK,89,OZ,beans
HUMMUS,199,OZ,hummus
GROUND TURKEY,299,,ground turkey
SWEET ITALIAN CKN SAUSAGE,399,,sausage
TJ'S HONEY NUT O'S CEREAL,249,,cereal
HARVEST BREAD,199,,bread
